example_id                                                | status  | run_time        |
./spec/features/course_displays_spec.rb[1:2:1]            | passed  | 0.17766 seconds |
./spec/features/course_displays_spec.rb[1:2:2]            | passed  | 0.2885 seconds  |
./spec/features/course_displays_spec.rb[1:2:3]            | passed  | 0.2664 seconds  |
./spec/features/events_spec.rb[1:1]                       | passed  | 0.1222 seconds  |
./spec/features/events_spec.rb[1:2]                       | passed  | 0.13299 seconds |
./spec/features/events_spec.rb[1:3]                       | passed  | 0.15549 seconds |
./spec/features/events_spec.rb[1:4:1]                     | passed  | 0.29957 seconds |
./spec/features/events_spec.rb[1:5:1]                     | passed  | 0.13307 seconds |
./spec/features/events_spec.rb[1:5:2]                     | passed  | 0.12196 seconds |
./spec/features/events_spec.rb[1:5:3]                     | passed  | 0.14417 seconds |
./spec/features/events_spec.rb[1:5:4]                     | pending | 0.00001 seconds |
./spec/features/events_spec.rb[1:5:5]                     | passed  | 0.08871 seconds |
./spec/features/inspection_display_spec.rb[1:1:1]         | passed  | 0.17766 seconds |
./spec/features/inspection_display_spec.rb[1:2:1]         | pending | 0.00001 seconds |
./spec/features/inspection_display_spec.rb[1:3:1]         | passed  | 0.14374 seconds |
./spec/features/inspection_display_spec.rb[1:4:1]         | passed  | 0.27663 seconds |
./spec/features/items_spec.rb[1:1]                        | passed  | 0.18867 seconds |
./spec/features/items_spec.rb[1:2]                        | passed  | 0.18876 seconds |
./spec/features/items_spec.rb[1:3]                        | passed  | 0.16657 seconds |
./spec/features/items_spec.rb[1:4]                        | passed  | 0.15548 seconds |
./spec/features/items_spec.rb[1:5]                        | passed  | 0.16639 seconds |
./spec/features/locations_spec.rb[1:1:1]                  | passed  | 0.29998 seconds |
./spec/features/locations_spec.rb[1:1:2]                  | passed  | 0.18867 seconds |
./spec/features/locations_spec.rb[1:1:3]                  | passed  | 0.16614 seconds |
./spec/features/moves_spec.rb[1:1]                        | passed  | 0.13311 seconds |
./spec/features/moves_spec.rb[1:2]                        | passed  | 0.13304 seconds |
./spec/features/moves_spec.rb[1:3]                        | passed  | 0.11095 seconds |
./spec/features/person_displays_spec.rb[1:1:1]            | passed  | 0.28709 seconds |
./spec/features/person_displays_spec.rb[1:1:2]            | passed  | 0.27758 seconds |
./spec/features/person_displays_spec.rb[1:1:3]            | passed  | 0.2555 seconds  |
./spec/features/person_displays_spec.rb[1:1:4]            | passed  | 0.27904 seconds |
./spec/features/person_displays_spec.rb[1:1:5]            | passed  | 0.23332 seconds |
